12 July 2001 FINAL A5-0263/2001	12 juillet 2001 FINAL A5-0263/2001
The following were present for the vote: Joaquim Miranda, chairman; Margrietus J. van den Berg, vice-chairman; Fernando Fernández Martín, vice-chairman; Bashir Khanbhai, rapporteur; Giuseppe Brienza, Marie-Arlette Carlotti, John Alexander Corrie, Michel J.M. Dary (for Wolfgang Kreissl-Dörfler), Gianfranco Dell'Alba (for Marco Pannella), Nirj Deva, Concepció Ferrer (for Domenico Mennitti),Jean-Claude Fruteau, Richard Howitt, Renzo Imbeni, Karin Junker, Glenys Kinnock, Karsten Knolle, Mario Mantovani (for Vitaliano Gemelli), Miguel Angel Martínez Martínez, Emilio Menéndez del Valle (for José María Mendiluce Pereiro), Luisa Morgantini (for Yasmine Boudjenah), Hervé Novelli, Didier Rod, Ulla Margrethe Sandbæk, Francisca Sauquillo Pérez del Arco, Bob van den Bos, Stavros Xarchakos, Jürgen Zimmerling.	Étaient présents au moment du vote Joaquim Miranda, président; Margrietus J. van den Berg, et Fernando Fernández Martín, vice-présidents; Bashir Khanbhai, rapporteur; Giuseppe Brienza, Marie-Arlette Carlotti, John Alexander Corrie, Michel J.M. Dary (suppléant Wolfgang Kreissl-Dörfler), Gianfranco Dell'Alba (suppléant Marco Pannella), Nirj Deva, Concepció Ferrer (suppléant Domenico Mennitti),Jean-Claude Fruteau, Richard Howitt, Renzo Imbeni, Karin Junker, Glenys Kinnock, Karsten Knolle, Mario Mantovani (suppléant Vitaliano Gemelli), Miguel Angel Martínez Martínez, Emilio Menéndez del Valle (suppléant José María Mendiluce Pereiro), Luisa Morgantini (suppléant Yasmine Boudjenah), Hervé Novelli, Didier Rod, Ulla Margrethe Sandbæk, Francisca Sauquillo Pérez del Arco, Bob van den Bos, Stavros Xarchakos et Jürgen Zimmerling.
The opinions of the Committee on Industry, External Trade, Research and Energy, the Committee on the Environment, Public Health and Consumer Policy and the Committee on Women's Rights and Equal Opportunities are attached.	Les avis de la commission des affaires étrangères, des droits de l'homme, de la sécurité commune et de la politique de défense, de la commission de l'environnement, de la santé publique et de la politique des consommateurs et de la commission des droits de la femme et de l'égalité des chances sont joints au présent rapport.
On 6 November 2000, the Committee on Foreign Affairs, Human Rights, Common Security and Defence Policy decided not to deliver an opinion and on 27 February 2001, the Committee on Budgets decided not to deliver an opinion.	La commission des affaires étrangères, des droits de l'homme, de la sécurité commune et de la politique de défense a décidé le 6 novembre 2000 qu'elle n'émettrait pas d'avis et la commission des budgets a également décidé le 27 février 2001 qu'elle n'émettrait pas d'avis.
The report was tabled on 12 July 2001.	Le rapport a été déposé le 12 juillet 2001.
The deadline for tabling amendments will be indicated in the draft agenda for the relevant part-session.	Le délai de dépôt des amendements sera indiqué dans le projet d'ordre du jour de la période de session au cours de laquelle le rapport sera examiné.
on the Commission communication on a Programme for Action: accelerated action on HIV/AIDS, malaria and tuberculosis in the context of poverty reduction ( COM(2001) 96 - C5-0112/2001 - 2001/2006(COS))	sur la communication de la Commission au Conseil et au Parlement européen sur un programme d'action: Accélération de la lutte contre le VIH/SIDA, le paludisme et la tuberculose dans le cadre de la réduction de la pauvreté ( COM(2001) 96 – C5‑0112/2001 – 2001/2006(COS))
The European Parliament ,	Le Parlement européen ,
- having regard to the Commission communication ( COM(2000) 585 – C5‑0014/200 ),	– vu la communication de la Commission ( COM(2001) 585 – C5‑0014/2001 ),
- having regard to the Commission communication ( COM(2001) 96 – C5‑0112/2001 ),	– vu la communication de la Commission ( COM(2001) 96 – C5‑0112/2001 ),
- having regard to the Round Table on HIV/AIDS, malaria and tuberculosis (28 September 2000), convened by the European Commission under the aegis of the French Presidency and co-sponsored by the World Health Organisation and the Joint United Nations Programme on HIV/AIDS,	– vu la table ronde sur le VIH/SIDA, le paludisme et la tuberculose organisée le 28 septembre 2000 par la Commission européenne sous l'égide de la Présidence française et coparrainée par l'Organisation mondiale de la santé et l'Agence des Nations unies contre le sida,
- having regard to the Council Resolution on Communicable diseases and poverty (10 November 2000), Council - Development - Press 421 No. 12929/00	– vu la résolution du Conseil, du 10 novembre 2000, sur les maladies transmissibles et la pauvreté Conseil – Développement – Presse 421 no 12929/00. ,
- having regard to the Commission's proposal on the Sixth Framework Programme on Research and Development ( COM(2001) 94 ) OJ C 180 of 26.6.2001 ,	– vu la proposition de la Commission concernant le sixième programme-cadre de recherche et de développement ( COM(2001) 94 ) JO C 180 du 26.6.2001.
- having regard to its resolution of 1 March 2001 Adopted text, point 12, A5-0059/2001 on the European Community's development policy which calls, in order to combat the scourge of HIV/AIDS and diseases induced by them, for the application of the principle of granting free licences to the countries concerned for the manufacture and marketing of appropriate medicines, in accordance with the principle of health emergency,	– vu sa résolution du 1er mars 2001 Texte adopté, paragraphe 12, A5-0059/2001 . sur la politique de développement de l’Union européenne, qui demande que, pour combattre le fléau du HIV/SIDA et des maladies induites, le principe d'attribution des licences gratuites aux États concernés par la fabrication et la commercialisation des médicaments appropriés soit appliqué, conformément au principe d'urgence sanitaire,
- having regard to its resolution of 15 March 2001 Adopted text, point 13, B5-0182/2001 on access to drugs for HIV/AIDS victims in the Third World,	– vu sa résolution du 15 mars 2001 Texte adopté, paragraphe 13, B5-0182/2001 . sur l'accès des victimes du virus HIV/sida aux médicaments dans le tiers monde,
- having regard to the resolution of the ACP-EU Joint Parliamentary Assembly on the importation and local production of generic drugs (ACP-EU 3173/01),	– vu la résolution de l'Assemblée parlementaire paritaire ACP-UE concernant l'importation et la production locale de médicaments génériques (ACP/UE 3173/01),
- having regard to Rule 47(1) of its Rules of Procedure,	– vu l'article 47, paragraphe 1, de son règlement,
- having regard to the report of the Committee on Development and Cooperation and the opinions of the Committee on Industry, External Trade, Research and Energy, the Committee on the Environment, Public Health and Consumer Policy and the Committee on Women's Rights and Equal Opportunities ( A5‑0263/2001 ),	– vu le rapport de la commission du développement et de la coopération et les avis de la commission des affaires étrangères, des droits de l'homme, de la sécurité commune et de la politique de défense, de la commission de l'industrie, du commerce extérieur, de la recherche et de l'énergie, de la commission de l'environnement, de la santé publique et de la politique des consommateurs, ainsi que de la commission des droits de la femme et de l'égalité des chances ( A5‑0263/2001 ),
A. these three communicable diseases are the major burden of diseases affecting the poorest people, especially women and children, in developing countries causing the deaths of more than five million people annually; and all these three diseases are still on the increase despite existing efforts,	A. considérant, que ces trois maladies transmissibles constituent la majeure partie des maladies qui affectent les plus pauvres – et en particulier les femmes et les enfants – dans les pays en voie de développement, causant le décès de plus de cinq millions de personnes par an, et que ces maladies sont toutes trois en augmentation malgré les efforts déployés,
B. the increasing threat to social and economic development of people in developing countries posed by HIV/AIDS, tuberculosis and malaria demands a prompt, effective and comprehensive national and global response, in addition to existing efforts ,	B. considérant que la menace croissante que le VIH/SIDA, la tuberculose et le paludisme représentent pour le développement économique et social des populations des pays en voie de développement exige, tant sur le plan national qu'au niveau mondial, une réaction rapide, efficace et exhaustive, en sus des efforts actuels,
C. international mobilisation and the introduction of a global scheme geared to facilitating access to treatment for these diseases in developing countries must therefore involve a considerable increase in the financial resources earmarked for combating communicable diseases and improving health systems in the countries of the South,	C. considérant en conséquence que la mobilisation internationale et la mise en place d'un dispositif global destiné à favoriser l'accès aux traitements de ces maladies dans les pays en voie de développement doivent se traduire par une augmentation considérable des moyens financiers affectés à la lutte contre les maladies transmissibles et à l'amélioration des systèmes de santé des pays du Sud,
G. treatments are often not available due to a lack of appropriate research and consequent production of drugs on grounds of commercial profitability,	G. considérant que, très souvent, aucun traitement n'existe, faute de recherche appropriée et, partant, de production de médicaments pour des motifs de rentabilité commerciale,
H. setting the price of potentially life-saving drugs cannot be left entirely to the judgement of pharmaceutical companies ,	H. considérant qu'on ne peut laisser à la seule appréciation des entreprises pharmaceutiques la fixation du prix de médicaments qui peuvent sauver des vies,
I. welcoming the fact that, in the case of South Africa, an agreement was reached between the Republic of South Africa and the pharmaceutical industries,	I. se félicitant que, dans le cas de l'Afrique du Sud, un accord ait été trouvé entre la République sud-africaine et les industries pharmaceutiques,
J. the 35 million AIDS sufferers in developing countries are condemned to die if they do not have access to treatment ,	J. considérant que les 35 millions de malades atteints du SIDA dans les pays en voie de développement sont condamnés à mourir s’ils n’ont pas accès aux traitements,
K. even though the fight against these three communicable diseases can be brought together in a single Community action programme, it is nevertheless necessary clearly to distinguish the specific problems posed by each of these diseases and, consequently, to differentiate between the measures to be taken in each case,	K. considérant que, si l’on peut regrouper la lutte contre ces trois maladies transmissibles dans un programme d’action communautaire unique, il faut cependant bien distinguer les problèmes spécifiques posés par chacune de ces maladies, et par conséquent différencier les mesures à prendre selon les cas,
L. the recent resurgence of tuberculosis, which had been partly eradicated, is chiefly the result of poor sanitary conditions and poor living conditions in general, in addition to the comparative ineffectiveness of the BCG vaccination.	L. considérant que la recrudescence récente de la tuberculose, qui avait été en partie éradiquée, est surtout le résultat de la mauvaise situation sanitaire et des mauvaises conditions de vie en général, auxquelles s’ajoute un manque d’efficacité du vaccin BCG.
Even if drugs are affordable, in the form of generic drugs, long-term treatment requires lengthy and intensive medical follow-up which health structures in developing countries are incapable of providing.	Même si les médicaments sont abordables, sous forme de génériques, le traitement à long terme nécessite un suivi médical long et intensif, que sont incapables d’assurer les structures sanitaires dans les pays en développement.
Resistance to available drugs increases in such conditions, since they are not used correctly.	Dans de telles conditions, la résistance aux médicaments disponibles augmente, car ils ne sont pas utilisés correctement.
A fresh boost should therefore be given to research into new forms of tri- and quadri-therapies and new molecules for treatment and prevention,	C’est pourquoi, la recherche doit être relancée sur de nouvelles formes de trithérapies et de quadrithérapies et de nouvelles molécules de traitement et de prévention,
M. malaria chiefly affects the less-favoured populations of the South, living in tropical and humid zones, and as a result the prevention and treatment of this disease have not been the subject of intensive research by pharmaceutical laboratories.	M. considérant que la malaria touche principalement les populations défavorisées du Sud, vivant dans les zones tropicales et humides, et que donc la prévention et le traitement contre cette maladie n’ont pas fait l’objet de recherches intensives de la part des laboratoires pharmaceutiques.
Nevertheless, the zone susceptible to the disease is tending to spread northwards with more intensive migration and climate change.	Cependant, avec l’intensification des migrations et le phénomène de changements climatiques, la zone d’influence de la maladie a tendance à s’étendre vers le Nord.
Moreover, affordable drugs are becoming more and more ineffective as organisms are becoming increasingly resistant, whilst the most recent drugs remain too expensive.	En outre, les médicaments abordables deviennent de plus en plus inefficaces, à cause de l’augmentation de la résistance des organismes, tandis que les médicaments les plus récents restent trop chers.
As a result, research geared to effective prevention (in particular, by testing new vaccines) and new forms of treatment needs to be stepped up and, at the same time, the cost of new anti-malaria drugs needs to be reduced ,	Il faut donc simultanément renforcer la recherche pour une prévention effective et de nouveaux traitements et baisser les coûts des nouveaux médicaments contre la malaria,
N. AIDS currently represents the chief problem, since there is no preventive treatment and drugs are not accessible for the majority of the population in developing countries owing to their price.	N. considérant que le SIDA représente le problème le plus important à l’heure actuelle, car il n’existe pas de traitement préventif, et que les médicaments ne sont pas accessibles par la plupart des populations des pays en développement, à cause de leurs prix.
The first priority is therefore to allow access to these drugs by reducing their cost, without however forgetting that prevention, medical follow-up and research are also vital ,	La première priorité est donc de permettre l’accès à ces médicaments en baissant leurs coûts, sans oublier pourtant que la prévention, le suivi médical et la recherche sont aussi essentiels,
O. prevention of HIV/AIDS concerns not only issues linked to the situation as regards health policy or general living conditions but, in particular, social, cultural and religious issues, cultural practices and specifically the relationship between the sexes,	O. considérant que la prévention du VIH/SIDA n'est pas une matière qui relève uniquement de la situation sur le plan de la politique sanitaire et des conditions générales de vie, dès lors qu'elle met en particulier en cause des questions sociales, culturelles et religieuses, des pratiques culturelles et spécialement la question des rapports entre les sexes,
P. noting that women are particularly affected by communicable diseases in terms both of infection and of the subsequent economic burden and underlining the importance of involving women in health programmes because of their specific role in basic health care and health education, and to consult with women to ensure that they are fully integrated in the planning process and the implementation of health programmes ,	P. notant que les femmes sont particulièrement affectées par les maladies transmissibles, tant en raison de l'infection elle-même que des contraintes économiques qui s'ensuivent, et soulignant l'importance d'une implication des femmes dans les programmes de santé en raison du rôle spécifique qu'elles jouent dans les soins de santé de base et l'éducation à la santé, ainsi que d’une consultation des femmes afin de s'assurer qu'elles sont pleinement intégrées dans le processus de planification et la mise en œuvre des programmes de santé,
Q. medical screening, diagnosis, the administration of treatment and follow-up of diseases require an adequate health structure and, consequently, diseases can be treated only if health structures (medical centres, specific equipment, qualified staff, etc.) are appropriate ,	Q. considérant que les examens de dépistage, le diagnostic, l’administration du traitement et le suivi des malades nécessitent un encadrement sanitaire adéquat, et que, par conséquent, le traitement des malades ne peut prendre place que si les structures sanitaires (centres médicaux, matériel spécifique, personnel qualifié, etc.) sont appropriées,
Calls for use to be made of the existing general preventative health programmes by increased efforts in the area of reproductive health; notes that among women HIV infection is increasing sharply in both rural and urban areas; notes the fact that often women do not get access to health services;	10. demande que les programmes existants en matière de prévention sanitaire soient mis à profit et que les efforts soient redoublés dans le domaine de la santé reproductive soient accrus; observe que le nombre de femmes infectées par le VIH augmente de façon spectaculaire, tant dans les régions rurales que dans les zones urbaines; constate que les femmes souvent n'ont pas accès aux services de santé;
Considers that although major pharmaceutical manufacturers of anti-retroviral and anti-malarial medicines have expressed the intention to reduce substantially their prices in the framework of special programmes of assistance to some Governments of developing countries, prices continue to be beyond the reach of most people who are too poor to be able to afford them without public funding at the national and or global levels;	29. considère que, même si les principaux fabricants de médicaments rétroviraux et antipaludiques ont fait des propositions de réduction de prix dans le cadre de programmes d'assistance spéciaux à certains gouvernements des pays en voie de développement, les prix demeurent hors de portée de la plupart des malades, trop pauvres pour pouvoir se les procurer sans un financement public, national et/ou mondial;
30.Calls on all major pharmaceutical manufacturers of essential life-saving medicines to continue to collaborate with the EU and governments of the developing countries to offer, as a first step , further reductions (tiered pricing) in order to reach marginal costs, and as a second step, to implement a global tiered pricing system;	30. appelle tous les principaux fabricants de médicaments vitaux à continuer à coopérer avec l'UE et les gouvernements des pays en voie de développement aux fins d'offrir, dans un premier temps, des réductions de prix supplémentaires (tarification échelonnée) afin d’atteindre des coûts marginaux et, dans un second temps, de mettre en œuvre un système global de prix échelonnés;
a) Reduce the patent protection granted for 20 years and laid down in the TRIPS agreement in a number of patented medicines only in the field of communicable diseases, b) Specify the conditions under which the practice of ‘ever-greening’ – i.e. process of introducing ‘minor changes’ to a patented drug upon expiry – would be eligible;	a) réduire la protection des brevets accordée pour une durée de vingt ans et fixée dans l'accord sur les ADPIC pour une série de médicaments brevetés, uniquement dans le domaine des maladies transmissibles, b) préciser les conditions dans lesquelles la pratique du "rajeunissement", processus visant à apporter des "changements mineurs" à un médicament breveté dont l'expiration est imminente, serait praticable;
Emphasises in particular the need to guarantee over the long term increased and reliable financing for R&D relating to ‘forgotten diseases’ through a public commitment in the form of an international treaty ;	48. insiste notamment sur la nécessité de garantir à long terme un financement accru et fiable en faveur de la R&D sur les maladies "oubliées" par un engagement public sous forme de traité international;
EXPLANATORY STATEMENT 1.	EXPOSÉ DES MOTIFS 1.
The circle of disease and poverty	La spirale de la maladie et de la pauvreté
Everyday, communicable diseases kill some 10.000 people in Africa.	Chaque jour, les maladies transmissibles tuent quelque 10 000 personnes en Afrique.
A few years ago, malaria seemed close to being eliminated, yet today it is still the most common cause of death in sub-Saharan Africa affecting more and more people whilst spreading to areas which were previously free of the disease.	Alors qu'il y a quelques années le paludisme semblait près d'être éradiqué, aujourd'hui il est redevenu la première cause de mortalité en Afrique subsaharienne, touchant de plus en plus de populations et s'étendant à des régions jusqu'alors préservées.
Although the DOTS (Directly Observed Treatment Short Course) programme for eradicating TB is medically and cost effective, tuberculosis continues to be the most widespread disease in the world.	Même si le programme DOTS (traitement de brève durée sous surveillance directe) d'éradication de la tuberculose est efficace à la fois médicalement et financièrement, cette maladie continue à être la plus répandue dans le monde.
HIV/AIDS is endemic in developing countries as so many remain unidentified untreated and unprotected.	Le VIH/SIDA est endémique dans les pays en voie de développement, où tant de malades ne sont ni détectés, ni protégés, ni traités.
35 million people are infected by AIDs who, without available treatment, are condemned to die.	Trente-cinq millions de personnes contaminées par le SIDA sont vouées à la mort si un traitement n'est pas disponible.
This is unacceptable and causes unnecessary human suffering and death and the social and economic consequences of not treating these patients are dramatic in terms of life expectancy reduction, orphans, reduction of work force, etc.	Ces souffrances humaines et ces morts inutiles sont inacceptables, et l'absence de traitement de ces malades a des conséquences économiques et sociales dramatiques en termes de diminution de l'espérance de vie, d'augmentation du nombre des orphelins, de perte de main-d'œuvre, etc.
These diseases seriously disable large working populations, retard social and economic development and destabilise communities as they impact on mortality rates and life expectancy in developing countries.	Ces maladies handicapent gravement d'importantes populations de travailleurs, retardent le développement économique et social et déstabilisent les communautés dans la mesure où elles affectent les taux de mortalité et l'espérance de vie dans les pays en voie de développement.
They make the poor even poorer!	Elles appauvrissent encore le pauvre!
None of the developing countries have adequate financial and technical resources to identify, treat and eradicate the scourge of these diseases.	Aucun pays en voie de développement ne dispose des ressources financières et techniques nécessaires pour détecter, traiter et éradiquer ce fléau.
How can we help the poor to maintain good health so that they can acquire the skills and technology to create local enterprise to be self-reliant?	Comment pouvons-nous aider les pauvres à se maintenir en bonne santé, de façon qu'ils puissent acquérir les qualifications et la technologie permettant aux entreprises locales d'être autosuffisantes?
There is an urgent need to establish a global fund - Infectious Disease Fund (IDF) - a fund supported by the EU, governments of industrialised countries, governments of oil-rich Arab states, international banks and agencies, rich corporations and millions of citizens all over the world.	Il faut instituer d'urgence un fonds mondial – dénommé Fonds des maladies infectieuses – financé par l'UE, les gouvernements des pays industrialisés, les gouvernements des États arabes producteurs de pétrole, les banques et les agences internationales, les compagnies prospères et des millions de citoyens du monde entier.
Such a fund would help procure the medication and treatment, facilitate testing centres for diagnosis and treatment progress, prevention and social rehabilitation.	Ce fonds contribuerait à l'approvisionnement en médicaments et à l'application des traitements et aiderait les centres de dépistage chargés des diagnostic, du suivi des traitements, de la prévention et de la réinsertion.
EU contribution	La contribution de l'Union européenne
The European Commission contribution to health assistance for the period 1990-1999 was Euros 4.2 billion through various instruments including EDF and budget lines.	La contribution de la Commission européenne à l'aide sanitaire pour la période 1990‑1999 a atteint 4,2 milliards d'euros au titre de divers instruments, dont le FED et les lignes budgétaires.
Therefore, the EU development budget for health care, especially for the ACP countries, should be substantially increased as to reflect the need of the poor and to honour the Copenhagen Social Summit pledge to attain universal and equitable access to primary health care.	En conséquence, le budget de l'UE affecté aux soins de santé dans le cadre du développement devrait être substantiellement augmenté de façon à refléter les besoins des défavorisés et à honorer l'engagement du sommet social de Copenhague de réaliser un accès universel et équitable aux soins de santé essentiels.
A new policy framework	Un nouveau cadre politique
The Commission has submitted to the Council and Parliament, a new policy framework for accelerated action against these diseases.	La Commission a présenté au Conseil et au Parlement européen un nouveau cadre politique visant à accélérer la lutte contre les maladies précitées.
This policy framework is developed in a Programme for Action (PFA), which establishes the EC response over the period 2001-2006 to the emergency caused by these communicable diseases.	Ce cadre politique est exposé dans un programme d'action qui arrête, pour la période 2001-2006, les mesures de la Communauté européenne face à l'urgence engendrée par ces maladies transmissibles.
The Programme began in earnest with a High Level Round Table in September of last year, which brought together six Commission DGs, NGOs and developing countries, leading pharmaceutical firms and agencies such as UNAIDS and the WHO.	Le programme a réellement démarré en septembre 2000 par une table ronde qui a rassemblé six DG de la Commission, des ONG, des pays en voie de développement, les principales firmes pharmaceutiques et des organismes tels que l'OMS et ONUSIDA.
The cooperation of these parties is intrinsic to the success of the PFA.	Leur coopération est intrinsèquement liée au succès du programme d'action.
The EC will continue to seek cooperation and collaboration with all stakeholders to promote cheaper and wider access for treatment, screening of carriers and prevention of these diseases.	La Communauté européenne continuera à rechercher la coopération et la collaboration avec toutes les parties afin de promouvoir un accès plus large et meilleur marché au traitement, au dépistage et à la prévention des maladies visées.
It will stimulate and liaise in establishing a global fund (IDF) and it will seek ways to enhance research and development for new and cheaper treatment regimes including vaccines.	Elle stimulera et coordonnera la création d'un fonds mondial (fonds des maladies infectieuses) et recherchera les moyens d'améliorer la recherche et le développement de nouveaux traitements moins onéreux, et notamment de vaccins.
Research and Development	Recherche et développement
About 1233 new chemical entities were developed between 1975-1997 and only 13 of these were for the treatment of tropical diseases - 5 were a result of veterinary research, 2 were developed by the US Army, 3 were a result from research and development efforts of pharmaceutical companies and 2 are re-formulation of old drugs.	Quelque 1233 nouveaux produits pharmaceutiques de synthèse ont été développés entre 1975 et 1997, et seuls 13 d'entre eux sont destinés au traitement de maladies tropicales: 5 ressortissent à la médecine vétérinaire, 2 ont été mis au point par l'armée des États-Unis, 3 résultent des efforts de R&D de sociétés pharmaceutiques et 2 sont de nouvelles formules d'anciens médicaments.
The vaccine for TB was developed in 1923 and the current best treatment for it was developed 30 years ago!	Le vaccin contre la tuberculose a été mis au point en 1923, et le meilleur traitement actuel contre cette maladie date d'il y a 30 ans!
Clearly, research and development are not a priority for diseases of the poor!	Manifestement, les maladies des pauvres ne constituent pas une priorité pour la R&D!
A global fund - Infectious Disease Fund (IDF) - is essential to realise medication for those infected, screening to identify carriers, prevention and research and development of new drugs and vaccines.	Un fonds mondial (fonds de maladies infectieuses) est essentiel pour assurer le traitement des malades, pour dépister les porteurs des maladies, pour assurer la prévention, ainsi que pour rechercher et développer de nouveaux médicaments et vaccins.
A ppraisal of the Commission strategy and PFA	Évaluation de la stratégie et de plan d'action de la Commission
The innovative and comprehensive strategy formulated to deal with the global emergency caused by the three major communicable diseases is the result of an unprecedented cooperation among different DGs of the Commission, going beyond traditional approaches.	La stratégie novatrice et exhaustive conçue pour faire face à l'urgence mondiale que constituent les trois principales maladies transmissibles est le résultat d'une coopération sans précédent entre diverses DG de la Commission, allant au-delà des approches traditionnelles.
It is a practical, achievable mix of development trade and research initiatives that the EU can adopt to improve the effectiveness of its interventions in this field.	Il s'agit d'une combinaison pratique et réalisable d'initiatives de développement, d'échanges commerciaux et de recherche qui peuvent être déployées par l'UE pour améliorer l'efficacité des ses interventions dans ce domaine.
Substantial unspent funds in the 8th EDF and in other budget lines should be made available without delay to implement the EC's Programme for Action.	Un montant substantiel de crédits non utilisés du huitième Fonds européen de développement et d'autres lignes budgétaires devrait être affecté sans retard à la mise en œuvre du programme d'action de la Communauté européenne.
The EU must lead by formulating, motivating and mobilising a global effort to help urgently the poor who are devastated by these diseases.	L'UE se doit de stimuler la définition, la motivation et le déploiement d'un effort mondial destiné à aider d'urgence les défavorisés atteints par les maladies visées.
It must build an extensive global network of projects and initiatives for prevention and treatment of these diseases that bring misery and death to so many every day!	Elle doit mettre en place un vaste réseau de projets et d'initiatives de prévention et de traitement de ces maladies qui, chaque jour, provoquent la ruine et la mort de tant de personnes.
The rapporteur believes that it is time that the European Parliament, the Commission and the Council give priority to assistance for health in developing countries so that the poor have a chance to be self-reliant!	Votre rapporteur estime qu'il est temps que le Parlement européen, la Commission et le Conseil privilégient l'aide à la santé dans les pays en voie de développement, afin que les défavorisés aient une chance de devenir autosuffisants.
30 May 2001 OPINION of the Committee on Industry, External Trade, Research and Energy	AVIS DE LA COMMISSION DE L'INDUSTRIE, DU COMMERCE EXTÉRIEUR, DE LA RECHERCHE ET DE L'ÉNERGIE
for the Committee on Development and Cooperation	à l'intention de la commission du développement et de la coopération
on the communication of the Commission to the Council and the European Parliament concerning accelerated action targeted at major communicable diseases within the context of poverty reduction	sur la communication de la Commission au Conseil et au Parlement européen sur l'accélération de la lutte contre les principales maladies transmissibles dans le cadre de la réduction de la pauvreté
Draftsman: Dorette Corbey	Rapporteur pour avis: Dorette Corbey
The Committee on Industry, External Trade, Research and Energy appointed Dorette Corbey draftsman at its meeting of 13 February 2001.	Au cours de sa réunion du 13 février 2001, la commission de l'industrie, du commerce extérieur, de la recherche et de l'énergie a nommé Dorette Corbey rapporteur pour avis.
It considered the draft opinion at its meetings of 20 March 2001, 24 April 2001 and 28 May 2001.	Au cours de ses réunions des 20 mars 2001, 24 avril 2001 et 28 mai 2001, elle a examiné le projet d'avis.
